Name,Short name,Code,Population
Blekinge län,Blekinge,10,159606
Dalarnas län,Dalarna,20,287966
Gotlands län,Gotland,9,59686
Gävleborgs län,Gävleborg,21,287382
Hallands län,Halland,13,333848
Jämtlands län,Jämtland,23,130810
Jönköpings län,Jönköping,6,363599
Kalmar län,Kalmar,8,245446
Kronobergs län,Kronoberg,7,201469
Norrbottens län,Norrbotten,25,250093
Skåne län,Skåne,12,1377827
Stockholms län,Stockholm,1,2377081
Södermanlands län,Södermanland,4,297540
Uppsala län,Uppsala,3,383713
Värmlands län,Värmland,17,282414
Västerbottens län,Västerbotten,24,271736
Västernorrlands län,Västernorrland,22,245347
Västmanlands län,Västmanland,19,275845
Västra Götalands län,Västra Götaland,14,1725881
Örebro län,Örebro,18,304805
Östergötlands län,Östergötland,5,465495
